Tm,Yr,Total_AV,Expected_AV,Picks,AV_Above_Expected,League_Mean_AV,League_SD_AV,Z_Score_vs_League
NWE,2000,209.0,67.41797388355721,7,141.5820261164428,2.513224597359722,48.127859123580166,2.889569659892612
NWE,2001,170.0,86.85988621211936,6,83.14011378788064,13.570121674587822,50.626424126075214,1.3741834094393541
NWE,2002,101.0,67.0773951947165,5,33.9226048052835,2.1676821978646243,41.61344289957208,0.7630928948622373
NWE,2003,191.0,104.53309637392618,7,86.46690362607382,13.009787837153095,44.93709658086426,1.634665374001961
NWE,2004,104.0,106.2416879422394,7,-2.2416879422393947,8.649262827493109,44.865656456613706,-0.2427458245320526
NWE,2005,196.0,62.86768073150588,5,133.13231926849411,11.767011609016128,56.35271376155902,2.1536728146403354
NWE,2006,78.0,91.83360567029506,7,-13.833605670295057,23.33225424683062,54.24127738007542,-0.6851951449575909
NWE,2007,23.0,30.817489215690806,2,-7.817489215690806,11.44931217468221,46.83467359255753,-0.41137900432458
NWE,2008,60.0,94.55111675004683,6,-34.55111675004683,1.2275808798416055,40.70427946542291,-0.8789910569546229
NWE,2009,171.0,109.82991565592793,8,61.170084344072066,-5.073978318314992,34.24940580370509,1.9341667718866176
NWE,2010,205.0,120.87688846839124,9,84.12311153160876,7.9379057475188475,43.309008964757744,1.759107576118512
NWE,2011,131.0,96.81770604528681,6,34.18229395471319,16.592017129553362,45.771543188088934,0.3843059595538679
NWE,2012,115.0,93.59145150036504,6,21.40854849963496,5.78725108386847,52.406647364147204,0.2980785492195679
NWE,2013,81.0,83.6121448403524,7,-2.6121448403524,-6.903962897236344,36.16152025730517,0.11868466885091569
NWE,2014,68.0,76.76145749386234,6,-8.761457493862338,6.193423134940243,38.30212775860598,-0.39044516594622913
NWE,2015,115.0,91.97551612642624,7,23.024483873573757,-12.005463742026606,40.723680511143485,0.8601861908334855
NWE,2016,77.0,78.8234998433503,7,-1.8234998433503051,1.432311718168909,42.03907518885424,-0.07744726892523131
NWE,2017,45.0,29.397662136155294,3,15.602337863844706,6.404242341167021,40.974046281333855,0.22448589674356795
NWE,2018,74.0,65.3554437848238,5,8.644556215176195,5.113659117541532,39.994357450117164,0.08828488123702356
NWE,2019,55.0,107.42018124925345,8,-52.420181249253446,-4.6862240144778164,22.925366486468373,-2.0821458737835425
NWE,2020,84.0,95.63534052457305,8,-11.635340524573053,-10.987426789797818,31.966237636002514,-0.020268689176154767
NWE,2021,56.0,73.20656601851582,5,-17.206566018515815,-21.788410506575982,28.44945531408593,0.161052098800345
NWE,2022,35.0,98.29207104335482,8,-63.292071043354824,-33.31717735599668,23.65290362113655,-1.2672817751040166
NWE,2023,56.0,121.85262415543917,11,-65.85262415543917,-56.19950962438605,19.330421875868705,-0.4993742295455883
