Tm,Yr,Total_AV,Expected_AV_PosAdj,Picks,AV_Above_Expected_PosAdj
ARI,2000,50.0,94.72707206846654,7,-44.72707206846654
ARI,2001,133.0,134.63088952299725,8,-1.6308895229972507
ARI,2002,34.0,94.64931841058224,7,-60.64931841058224
ARI,2003,147.0,108.87881257935926,6,38.12118742064074
ARI,2004,251.0,126.02323406071541,7,124.97676593928459
ARI,2005,58.0,107.11725773384636,7,-49.11725773384636
ARI,2006,59.0,85.79875430395529,5,-26.798754303955292
ARI,2007,64.0,72.74256723910365,4,-8.74256723910365
ARI,2008,114.0,88.5107890824533,6,25.4892109175467
ARI,2009,56.0,57.02190343179103,5,-1.0219034317910314
ARI,2010,82.0,79.13778347146443,6,2.862216528535569
ARI,2011,129.0,99.36509099394954,7,29.634909006050464
ARI,2012,63.0,78.4823365362306,6,-15.482336536230605
ARI,2013,92.0,117.73973076262867,8,-25.739730762628668
ARI,2014,63.0,71.28796196411436,5,-8.28796196411436
ARI,2015,130.0,80.85027400080645,5,49.14972599919355
ARI,2016,17.0,51.98390403124285,4,-34.98390403124285
ARI,2017,78.0,88.88723989104001,6,-10.88723989104001
ARI,2018,55.0,90.6777200203762,5,-35.6777200203762
ARI,2019,121.0,136.9910899937942,9,-15.99108999379419
ARI,2020,50.0,81.57526140069339,5,-31.575261400693392
ARI,2021,51.0,63.4228611283915,5,-12.422861128391503
ARI,2022,33.0,59.155988901899086,7,-26.155988901899086
ARI,2023,47.0,114.33318734128954,9,-67.33318734128954
ATL,2000,42.0,66.74704932194723,5,-24.74704932194723
ATL,2001,170.0,116.82933254729026,8,53.170667452709736
ATL,2002,46.0,89.4194849912342,7,-43.4194849912342
ATL,2003,19.0,26.080131093708673,3,-7.0801310937086726
ATL,2004,94.0,96.37084202887253,6,-2.3708420288725307
ATL,2005,184.0,88.76522650429392,7,95.23477349570608
ATL,2006,33.0,51.85903991066899,4,-18.85903991066899
ATL,2007,145.0,129.36732730651272,10,15.63267269348728
ATL,2008,296.0,151.59185902790807,9,144.40814097209193
ATL,2009,79.0,91.55082331822894,7,-12.550823318228936
ATL,2010,67.0,96.1328661253344,7,-29.132866125334402
ATL,2011,140.0,70.75399835669627,5,69.24600164330373
ATL,2012,34.0,69.12193099677269,6,-35.12193099677269
ATL,2013,86.0,77.66797461089327,8,8.332025389106732
ATL,2014,152.0,110.28285722677,7,41.717142773229995
ATL,2015,125.0,90.64209863868686,5,34.35790136131314
ATL,2016,113.0,75.53111933340348,5,37.46888066659652
ATL,2017,40.0,54.428769032125665,4,-14.428769032125665
ATL,2018,79.0,72.62997827317733,6,6.370021726822671
ATL,2019,93.0,91.7504467039604,6,1.2495532960395934
ATL,2020,62.0,93.00110071051793,6,-31.00110071051793
ATL,2021,82.0,100.18572401534061,9,-18.18572401534061
ATL,2022,70.0,111.58222487167995,7,-41.582224871679955
ATL,2023,42.0,80.31041937088135,6,-38.31041937088135
BAL,2000,132.0,91.60201674163272,4,40.397983258367276
BAL,2001,96.0,82.3972977916433,5,13.602702208356703
BAL,2002,161.0,90.3272719554721,9,70.6727280445279
BAL,2003,192.0,117.77228541756982,8,74.22771458243018
BAL,2004,25.0,54.715140060541955,5,-29.715140060541955
BAL,2005,55.0,93.15444055556675,6,-38.15444055556675
BAL,2006,171.0,97.30778639851927,8,73.69221360148073
BAL,2007,139.0,96.86982533266931,7,42.13017466733069
BAL,2008,175.0,124.24588062883254,9,50.75411937116746
BAL,2009,77.0,70.938805747565,4,6.061194252435001
BAL,2010,57.0,82.80800105307432,7,-25.80800105307432
BAL,2011,95.0,95.22072248641594,8,-0.22072248641593717
BAL,2012,71.0,94.20105773605609,7,-23.201057736056086
BAL,2013,105.0,104.70677825807675,8,0.29322174192324724
BAL,2014,109.0,106.47146047688793,8,2.528539523112073
BAL,2015,49.0,87.54462259390905,8,-38.544622593909054
BAL,2016,130.0,134.9086045366394,10,-4.908604536639388
BAL,2017,115.0,86.17416323177815,6,28.825836768221848
BAL,2018,230.0,119.61610789394703,9,110.38389210605297
BAL,2019,67.0,88.96056576254836,7,-21.960565762548356
BAL,2020,151.0,132.5855671506035,10,18.41443284939649
BAL,2021,57.0,78.16927772529098,7,-21.169277725290982
BAL,2022,93.0,141.50133856491914,10,-48.50133856491914
BAL,2023,36.0,57.91307523777692,5,-21.913075237776923
BUF,2000,24.0,92.21706682253915,8,-68.21706682253915
BUF,2001,178.0,137.6613800997854,11,40.33861990021461
BUF,2002,99.0,120.48190796019993,8,-21.481907960199933
BUF,2003,147.0,105.6751501805872,8,41.324849819412805
BUF,2004,76.0,94.10933652007586,6,-18.109336520075857
BUF,2005,26.0,50.289634233728705,4,-24.289634233728705
BUF,2006,154.0,130.25513132382156,9,23.74486867617844
BUF,2007,53.0,87.21940312821557,6,-34.219403128215575
BUF,2008,79.0,100.38800096351513,8,-21.388000963515125
BUF,2009,107.0,131.48880707088958,8,-24.488807070889578
BUF,2010,53.0,112.72571193882337,8,-59.725711938823366
BUF,2011,97.0,123.49853153456837,8,-26.49853153456837
BUF,2012,75.0,105.58359847705887,7,-30.58359847705887
BUF,2013,51.0,100.70510953950428,7,-49.70510953950428
BUF,2014,70.0,99.19444320911975,6,-29.194443209119754
BUF,2015,37.0,53.05344528984041,6,-16.05344528984041
BUF,2016,26.0,61.75102431229015,5,-35.75102431229015
BUF,2017,178.0,87.87519901181003,6,90.12480098818997
BUF,2018,190.0,99.82053263885679,6,90.17946736114321
BUF,2019,113.0,90.88735156038058,7,22.11264843961942
